no,name,logo_name,address,province,phone_numbers,faxes,Emails,website_or_facebook,mailbox,department_name,major
,,,,,,,,,,,វិស្វកម្មសំណង់ស៊ីវិល
,,,,,,,,,,,វិស្វកម្មអគ្គីសនី និងអេឡិចត្រូនិច
,,,,,,,,,,,វិស្វកម្មអេឡិចត្រូនិច និងទូរគមនាគមន៍
,,,,,,,,,,,វិស្វកម្មសំណង់ស៊ីវិលអាគារ
,,,,,,,,,,,វិស្វកម្មសំណង់ស៊ីវិលស្ពានថ្នល់
,,,,,,,,,,,ស្ថាបត្យកម្ម និងនគរូបនីយកម្ម
,,,,,,,,,,,ស្ថាបត្យកម្ម តុបតែងក្នុងអាគារ
,,,,,,,,,,,រចនាម៉ូតផលិតផល
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
និងបច្ចេកវិទ្យា",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,,បច្ចេកវិទ្យាបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន និងបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាទូរគមនាគមន៍
,,,,,,,,,,"មហាវិទ្យាល័យទេសចរណ៍
បដិសណ្ឋាកិច្ច",គ្រប់ក្រងសណ្ឋាគារ និងបដិសណ្ឋាកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋាកិច្ច
,,,,,,,,,,,គ្រប់គ្រងសេវាម្ហូបអាហារ
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រងធុរកិច្ច,រដ្ឋបាលធុរកិច្ច
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,សវនកម្ម
,,,,,,,,,,,គណនេយ្យ និងហរិញ្ញវត្ថុ
,,,,,,,,,,,ធុរកិច្ចអន្ដរជាតិ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ហរិញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ
,,,,,,,,,,,គ្រប់គ្រងសហគ្រិនភាព និងសហគ្រាស
,,,,,,,,,,,គ្រប់គ្រងអចលនទ្រព្យ និងដីធ្លី
,,,,,,,,,,,ប្រពន្ធ័ព័ត៌មានធុរកិច្ច
8,សាខាសាកលវិទ្យាល័យបញ្ញាសាស្ត្រកម្ពុជា,puc,ផ្លូវលេខ ២៧ ភូមិវត្តបូព៌ សង្កាត់ស្លក្រាម ក្រុងសៀមរាប,សៀមរាប,០៦៣ ៩៦៥ ៩៥៧ ; ០១២ ៦០២ ៥៥០,,infosr@puc.edu.kh,,,"មហាវិទ្យាល័យពាណិជ្ជកម្ម
និងសេដ្ឋកិច្ច",គណនេយ្យ
,,,,,,,,,,,គ្រប់គ្រងអាជីវកម្ម
,,,,,,,,,,,ប្រព័ន្ធព័ត៌មានអាជីវកម្ម
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,សហគ្រិនភាព
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,មហាវិទ្យាល័យអប់រំ,TESOL
,,,,,,,,,,,រដ្ឋបាលអប់រំនិងភាពជាអ្នកដឹកនាំ
,,,,,,,,,,,"ផែនការអប់រំ គោលនយោបាយ
និងការគ្រប់គ្រង (PhD)"
,,,,,,,,,,"មហាវិទ្យាល័យនីតិសាស្រ្ត
និងកិច្ចការសាធារណៈ",ច្បាប់
,,,,,,,,,,,ច្បាប់កម្មសិទិ្ធបញ្ញា
,,,,,,,,,,,ច្បាប់ពណិជ្ជកម្មអន្ដរជាតិ
,,,,,,,,,,,ច្បាប់ស្តីពីសិទ្ធិមនុស្សអន្តរជាតិ
,,,,,,,,,,"មហាវិទ្យាល័យសង្គមសាស្រ្ត
និងទំនាក់ទំនងអន្តរជាតិ",ទំនាក់ទំនងអន្តរជាតិ
,,,,,,,,,,,ទំនាក់ទំនងអន្តរជាតិ និងការទូត
,,,,,,,,,,,ទំនាក់ទំនងអន្តរជាតិ និងសន្តិភាពការអភិវឌ្ឍន៍
,,,,,,,,,,,ចិត្តវិទ្យា
,,,,,,,,,,,សង្គមវិទ្យា
,,,,,,,,,,,វិទ្យាសាស្រ្តនយោបាយ
,,,,,,,,,,"មហាវិទ្យាល័យគណិតវិទ្យា
វិទ្យាសាស្ត្រនិងវិស្វកម្ម",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,សិក្សាអំពីបរិស្ថាន និងវិទ្យាសាស្រ្ត
,,,,,,,,,,,
9,សាខាសាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,cambodia_specialty,ផ្លូវលោកតានឿយ ភូមិវត្តបូព៌ សង្កាត់ស្លក្រាម ក្រុងសៀមរាប ខេត្តសៀមរាប,សៀមរាប,012 63 62 08,,info@cus.edu.kh,,,"មហាវិទ្យាល័យសិល្បៈ
មនុស្សសាស្រ្ត និងភាសា",អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ចិត្ត-គរុកោសល្យ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
និងបច្ចេកទេស
",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,គីមីវិទ្យា
,,,,,,,,,,,ជីវវិទ្យា
,,,,,,,,,,,គ្រប់ក្រងប្រព័ន្ធព័ត៌មានវិទ្យា
,,,,,,,,,,,គណិតវិទ្យា
,,,,,,,,,,,រូបវិទ្យា
,,,,,,,,,,,គ្រប់គ្រងសិ្ថតិអនុវត្តន៏
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មានវិទ្យា
,,,,,,,,,,"មហាវិទ្យាល័យគ្រប់គ្រង
ពាណិជ្ជកម្ម និងសេដ្ឋកិច្ច
",គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,ហរិញ្ញវត្ថុ និងធនាគារ
,,,,,,,,,,,ម៉ាឃីតធីង(ទីផ្សារ)
,,,,,,,,,,,សេដ្ឋកិច្ចអភិវឌ្ឍន៏
,,,,,,,,,,,គ្រប់គ្រងសណ្ឋាគារ និងទេសចរណ៏
,,,,,,,,,,,គ្រប់គ្រងការផ្សាយពាណិជ្ជកម្ម
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្មអន្ដរជាតិ
,,,,,,,,,,,គ្រប់គ្រងអចលនវត្ថុ និងដីធ្លី
10,សាខាសាកលវិទ្យាល័យ មេគង្គកម្ពុជា,mekong,អគារលេខ ២២០ ផ្លូវ៧ មករាសង្កាត់សាលាកំរើក ក្រុងសៀមរាប ខេត្តសៀមរាប,សៀមរាប,០៦៣ ៦៩០ ០១១១ ; ០៩៨ ៩៧៩ ៦៩៥ ; ០៧៧ ៧៧៣ ៦៣៥,,cmu-srp@mekong.edu.kh,,,មហាវិទ្យាល័យ វិទ្យាសាស្រ្ត,គណនេយ្យ
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្មអន្ដរជាតិ
,,,,,,,,,,,ធនាគារ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,វិភាគហិរញ្ញវត្ថុ និងការវិនិយោគ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មានវិទ្យា
,,,,,,,,,,,សំណង់ស៊ីវិល
,,,,,,,,,,,ស្ថាបត្យកម្ម
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈមនុស្ស
សាស្រ្ត និងភាសាបរទេស",ទំនាក់ទំនងអន្តរជាតិ
,,,,,,,,,,,ភាសាអង់គ្លេស
,,,,,,,,,,,សិក្សាជប៉ុន ពាណិជ្ជកម្ម
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្តសង្គម,ម៉ាឃីតធីង(ទីផ្សារ)
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,ច្បាប់
,,,,,,,,,,,ច្បាប់ពាណិជ្ជកម្ម
,,,,,,,,,,,គ្រប់គ្រងធនធានមនុស្ស
,,,,,,,,,,,គ្រប់គ្រងសណ្ឋាគារ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,,ទំនាក់ទំនងសាធារណៈ
,,,,,,,,,,កម្មវិធីសិក្សាអន្តរជាតិ,គ្រប់គ្រងពាណិជ្ជកម្មនិងសហគ្រាស
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្មអន្ដរជាតិ
11,សាខាវិទ្យាស្ថានវ៉ាន់ដា,vanda,ផ្លូវលោកតានឿយ សង្កាត់សាលាកំរើក ក្រុងសៀមរាប ខេត្តសៀមរាប,សៀមរាប,០៦៣ ៩៦៣ ៥៦៣ ; ០១៧ ៣៧០ ២៦៨,,vandaact@yahoo.com,,,"មហាវិទ្យាល័យ គណនេយ្យ និង
ហិរញ្ញវត្ថុ ",គណនេយ្យ និងធនាគារ
,,,,,,,,,,,ភាសាអង់គ្លេសសម្រាប់ពាណិជ្ជកម្ម
,,,,,,,,,,,គណនេយ្យ
,,,,,,,,,,,បរិញ្ញាបត្រជាន់ខ្ពស់សវនកម្ម
,,,,,,,,,,,បរិញ្ញាបត្រជាន់ខ្ពស់គណនេយ្យ
12,សាខាសាកលវិទ្យាល័យ បៀលប្រាយ,bbu,ផ្លូវលេខ ១ ភូមិទី ៤ សង្កាត់៤ ក្រុងព្រះសីហនុ ខេត្តព្រះសីហនុ,ព្រះសីហនុ,016 565 648,,sihanoukvilleinfo@bbu.edu.kh,,,"មហាវិទ្យាល័យសេដ្ឋកិច្ច និង
វិទ្យាសាស្រ្តកសិកម្ម",សេដ្ឋកិច្ច
,,,,,,,,,,,សេដ្ឋកិច្ច​និងហិរញ្ញវត្ថុ
,,,,,,,,,,,គ្រប់គ្រងគម្រោងនិងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,,កសិកម្ម
,,,,,,,,,,,ផលិតកម្មកសិកម្មនិងទីផ្សារ
,,,,,,,,,,,គ្រប់គ្រងគម្រោងនិងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និង
បច្ចេកវិទ្យា",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,,ការអនុវត្តន៍កុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ មនុស្ស
សាស្រ្ត និងភាសា",ភាសាអង់គ្លេស
,,,,,,,,,,,បង្រៀនភាសាអង់គ្លេសជាភាសាបរទេស
,,,,,,,,,,,ភាសាអង់គ្លេសសម្រាប់ធុរកិច្ចអន្តរជាតិ
,,,,,,,,,,,ផែនការអប់រំ និងគ្រប់គ្រង
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រងធុរកិច្ច,រដ្ឋបាលធុរកិច្ច
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ទេសចរណ៍និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,"មហាវិទ្យាល័យទេសចរណ៍ និង
បដិសណ្ឋារកិច្ច",គ្រប់គ្រងសណ្ឋាគារ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
13,សាខាសាកលវិទ្យាល័យ គ្រប់គ្រង និង សេដ្ឋកិច្ច,management_economic,ភូមិមណ្ឌល ៣ សង្កាត់៤ ក្រុងព្រះសីហនុ ខេត្តព្រះសីហនុ,ព្រះសីហនុ,០៣៤ ៩៣៣ ៩០៩,,imechanthou@yahoo.com,,,"មហាវិទ្យាល័យគ្រប់គ្រង
ពាណិជ្ជកម្ម និងទេសចរណ៍",
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ មនុស្ស
សាស្រ្ត និងភាសាបរទេស",
,,,,,,,,,,"មហាវិទ្យាល័យនិតីសាស្រ្ត និង
សេដ្ឋកិច្ច",
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត
បច្ចេកវិទ្យា",
14,សាខាសាកលវិទ្យាល័យបៀលប្រាយ,bbu,ភូមិចំការសំរោង២ សង្កាត់ចំការសំរោង ក្រុងបាត់ដំបង ខេត្តបាត់ដំបង,បាត់ដំបង,"015 651 751;
053 393 975",,,www.bbu.edu.kh,,"មហាវិទ្យាល័យសេដ្ឋកិច្ច និង
វិទ្យាសាស្រ្តកសិកម្ម",សេដ្ឋកិច្ច
,,,,,,,,,,,សេដ្ឋកិច្ច និងហិរញ្ញវត្ថុ
,,,,,,,,,,,គ្រប់គ្រងគម្រោង និងអភិវឌ្ឍន៍ជនបទ
,,,,,,,,,,,កសិកម្ម
,,,,,,,,,,,ផលិតកម្មកសិកម្ម និងទីផ្សារ
,,,,,,,,,,"មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និង
បច្ចេកវិទ្យា",វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាព័ត៌មាន
,,,,,,,,,,,ការអនុវត្តន៍កុំព្យូទ័រ
,,,,,,,,,,,បច្ចេកវិទ្យាបណ្ដាញកុំព្យូទ័រ
,,,,,,,,,,"មហាវិទ្យាល័យសិល្បៈ
មនុស្សសាស្រ្ត និងភាសា",ភាសាអង់គ្លេស
,,,,,,,,,,,បង្រៀនភាសាអង់គេ្លសជាភាសាបរទេស
,,,,,,,,,,,ភាសាអង់គ្លេសសម្រាប់ធុរកិច្ច
,,,,,,,,,,,ផែនការអប់រំ និងគ្រប់គ្រង
,,,,,,,,,,មហាវិទ្យាល័យគ្រប់គ្រងធុរកិច្ច,រដ្ឋបាលធុរកិច្ច(គ្រប់គ្រងធុរកិច្ច)
,,,,,,,,,,,គ្រប់គ្រង
,,,,,,,,,,,គណនេយ្យ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,ធនាគារ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,"មហាវិទ្យាល័យទេសចរណ៍ និង
បដិសណ្ឋារកិច្ច",គ្រប់គ្រងសណ្ឋាគារ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
15,សាខាសាកលវិទ្យាល័យបញ្ញាសាស្ត្រកម្ពុជា,puc,ផ្លូវលេខ ២០៧ ភូមិរំចេក ៤ សង្កាត់រតនៈ ក្រុងបាត់ដំបង ខេត្តបាត់ដំបង,បាត់ដំបង,០៥៣ ៦៣៨ ៨៨២០ ; ០៥៣ ៦៣៦ ៦៦២០,,infopucbb@puc.edu.kh,,,មហាវិទ្យាល័យអប់រំ,TESOL
,,,,,,,,,,មហាវិទ្យាល័យសិល្បៈ អក្សរសាស្រ្ត និងមនុស្សសាស្រ្ត,នរវិទ្យា
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ខេមរសិក្សា
,,,,,,,,,,,តូរ្យតន្រី្ត
,,,,,,,,,,,ភាសាអង់គ្លេសទំនាក់ទំនង
,,,,,,,,,,មហាវិទ្យាល័យពាណិជ្ជសាស្រ្ត និងសេដ្ឋកិច្ច,គណនេយ្យ
,,,,,,,,,,,គ្រប់គ្រងពាណិជ្ជកម្ម
,,,,,,,,,,,សេដ្ឋកិច្ច
,,,,,,,,,,,ធនាគារ និងហិរញ្ញវត្ថុ
,,,,,,,,,,,ប្រព័ន្ធព័ត៌មានវិទ្យាពាណិជ្ជកម្ម
,,,,,,,,,,"មហាវិទ្យាល័យគ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋារកិច្ច និង
សហគ្រិនភាព",សហគ្រិនភាព
,,,,,,,,,,,ទីផ្សារ
,,,,,,,,,,,ជំនួញអន្តរជាិត
,,,,,,,,,,,គ្រប់គ្រងទេសចរណ៍ និងបដិសណ្ឋារកិច្ច
,,,,,,,,,,មហាវិទ្យាល័យគណិតវិទ្យា វិទ្យាសាស្រ្ត និងវិស្្វកម្ម,បរិស្ថាន
,,,,,,,,,,,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,មហាវិទ្យាល័យនិតិសាស្រ្ត និងកិច្ចការសាធារណៈ ,ច្បាប់
16,សាខាសាកលវិទ្យាល័យឯកទេសនៃកម្ពុជា,cambodia_specialty,ផ្លូវលេខ ២០៧ ភូមិរំចេក ៤ សង្កាត់រតនៈ ក្រុងបាត់ដំបង ខេត្តបាត់ដំបង,បាត់ដំបង,012 44 27 28,,info@cus.edu.kh,,,មហាវិទ្យាល័យសិល្បៈ មនុស្សសាស្រ្ត និងភាសា,អក្សរសាស្រ្តអង់គ្លេស
,,,,,,,,,,,ប្រវត្តិវិទ្យា
,,,,,,,,,,,ចិត្ត-គរុកោសល្យ
,,,,,,,,,,,ភូមិវិទ្យា
,,,,,,,,,,,អក្សរសាស្រ្តខ្មែរ
,,,,,,,,,,មហាវិទ្យាល័យវិទ្យាសាស្រ្ត និងបច្ចេកទេស,វិទ្យាសាស្រ្តកុំព្យូទ័រ
,,,,,,,,,,,គីមីវិទ្យា
